Country (In thousand 60kg bags),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Paraguay,262.5019999,120.0840001,40.3690006,58.4419998,48.36284,20.59553,15.9135658,35.25945,19.3557834,3.4944834,5.4387134,0.6,21.4491333,30.86829,17.2017367,23.763649,24.8122533,31.48511,0.8390233,0.0182929,0.1959806,0.0199421,0.006549,0.0081925,0.0460641,0,0.0093713,0.002358,0.0135363,0.0006743
Peru,1105.078,1041.867,1061.043,775,1057.017,1760.467,1679.374,1647.733,1949.254,2407.33,2361.566,2662.796,2789.464,2503.025,3184.062,2369.437815,3881.025999,2879.494289,3732.567,3073.578,3816.67104,4697.069665,4310.351922,3736.07598,2719.88985,2789.83914,3959.583593,3945.823228,4063.938661,3771.945882
Philippines,168.282001,103.0250002,41.3159998,34.7579998,125.6699992,57.3240006,27.0319997,30.9289995,21.0029996,8.5949999,4.9972,3.014,7.0079997,12.3309998,28.8129993,34.4145416,38.0869695,32.4238816,4.3929507,6.7312925,6.3665458,10.3260753,3.0909913,6.092139,12.0375383,14.8310425,12.9434741,8.5486409,3.9927242,7.0860156
Rwanda,779.15,473.98,644.525,480.725,30.024,313.899,265.306,217.949,214.272,314.019,270.158,278.773,329.949,245.426,450.444,235.5991667,388.9674653,255.5357195,326.0684598,304.3162559,295.9629328,276.8116826,250.844586,254.2667468,255.6826782,262.6835499,244.3354621,245.9412701,350.3721832,388.8660001
Sierra Leone,139.744,103.821,47.02,40.986,61.924,71.475,28.512,46.9430001,41.865,22.945,39.796,35.903,80.461,33.9741004,22.9460001,20.3848082,50.9830177,51.0899843,25.7117922,103.7334566,57.5764861,37.3870282,65.2700743,56.9916375,24.0319576,54.0397454,25.806877,34.973872,26.546347,46.740111
Sri Lanka,19.137,22.168,14.724,14.464,47.359,21.896,11.536,21.136,27.2659998,17.2599997,2.4309996,4.1429996,2.9119995,5.9761442,6.913303,2.5089192,7.4294345,4.2543587,1.700505,0.6494178,1.6552438,2.3540694,0.1529592,0.2801537,2.3383577,0.482531,1.4493613,1.6893049,1.5379155,0.9553168
Tanzania,1019.052,871.3299987,827.7859996,1037.295999,632.137999,744.6529993,969.6369995,655.1669989,742.3049999,643.3540005,740.3485,866.1620001,496.1019996,882.6650006,552.8320004,711.7568673,731.5407483,807.2481667,817.9361667,1156.944317,555.8019331,798.0999333,756.221317,934.7947801,717.9569368,708.912463,904.7976535,664.0793199,856.0041365,1069.214287
Thailand,1001.435,540.937,1163.776001,981.7820003,1136.046,1209.523,872.6859998,1066.23,778.0310001,493.404001,970.33097,1147.791,253.2999999,180.6349993,419.8139997,374.5679999,540.0988174,365.4450574,175.0425515,185.3875587,369.627534,242.7539545,349.7193662,49.3077027,27.3704621,578.3290715,130.9525718,141.1263307,258.1336572,174.2986935
Timor-Leste,0,0,0,0,0,0,0,0,0,0,1.195,31.6646336,30.0256336,45.9073504,22.4361888,18.4012047,49.3015394,31.2524211,49.6075279,43.1972278,68.0392678,38.7211688,55.8770497,70.2399165,111.0623633,67.6860052,67.8533082,86.2778885,128.6684667,117.1977167
Togo,238.838,154.834,313.177,218.284,165.795,200.316,85.49,313.137,165.801,320.88,282.6,193.325,100.191,71.558,148.541,163.99795,117.8949833,154.9078833,120.6589,151.7037833,198.1077,155.0841667,147.3904467,90.7565333,133.9686333,178.1048167,74.8768333,27.3287667,111.04435,58.49345
Trinidad & Tobago,30.2319997,7.6719977,2.451,9.7439996,5.3999985,4.0599984,3.7569977,3.9519988,5.2189988,2.9669988,3.0969997,2.8399995,2.1449991,1.7918055,2.1864285,0.7738187,0.7917137,0.7603987,1.2597838,0.1432195,0.5000756,0.2998397,1.4482379,2.4859161,2.137128,1.9322738,1.7645473,1.7999997,2.8705688,2.4710825
Uganda,2352.68,2095.093,1961.034,1829.081,3368.765,3079.261,4654.503,3501.942,3286.012,3840.797,2513.272,3059.763,3357.847,2522.128,2627.011,2368.692,2172.889,2693.187,3310.65,3014.351,2656.536,3142.011,2685.237,3671.879,3442.351,3595.607,3543.097,4774.033,4223.182,4526.143
Venezuela,277.795,127.889,135.818001,525.0020004,385.9960001,96.7520001,494.5670001,104.5369998,267.5629998,464.0820001,38.36703,25.9340004,191.901,259.9515279,169.8346224,22.0685575,64.8685815,70.3796585,125.4862776,18.181522,19.0843108,0.467082,2.3147761,5.76347,0.0820858,0.50364,0,0,71.7729963,53.2333949
Viet Nam,1145.234001,1200.952,1937.611,2071.837,2720.911,3546.405,3779.415,6177.834,6466.712,7727.013,11618.37585,14106.443,11771.367,11631.111,14858.991,13432.03355,13904.70204,17936.21861,16101.37204,17051.73448,14228.5858,17717.39473,22919.66383,19717.76441,26097.14416,21943.50217,29721.29053,25092.15868,31385.06558,27400.16182
Yemen,50.0000002,71.6669969,36.9890016,50.8530024,92.840004,76.8740028,42.007002,79.7890032,70.7909994,68.004,58.1039992,65.8800015,60.9980006,55.3268102,44.6280631,77.8692027,60.5650481,72.2408778,66.5796,39.3638493,43.5304245,35.2766883,62.6515962,55.3491345,56.9890456,52.2324134,37.9012596,46.4221011,42.1181308,12.1805242
Zambia,24.36,29.198,30.514,23.072,23.954,20.742,35.824,38.89,33.308,51.184,64.552,114.945,99.446,129.673,103.755,105.8024333,77.9461333,53.682,48.4856667,32.5476667,17.8713333,9.003,7.0757268,10.2548897,5.2441874,2.9395502,9.7911194,12.5689814,26.168988,27.2767848
Zimbabwe,250.772,239.324,162.318,69.828,31.744,156.975,150.362,109.008,153.268,131.422,117.05728,104.5680001,119.0890001,97.4280001,113.0079995,70.8847161,54.2412331,32.4034668,23.1005954,18.4785659,7.434416,4.5622061,4.0035378,2.1808035,11.3021925,11.0690096,12.2870778,2.3491934,4.8053098,6.2683128
