Country (In thousand 60-kg bags),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019/20
France,6301.221035,6552.709041,6612.056041,6334.468044,6368.662042,6213.680045,6659.513448,6703.985251,6576.022652,6675.665652,6520.008579,6752.743668,6925.100267,6651.823961,5940.129457,5714.008576,6190.531621,6420.270465,6251.739124,6669.728205,6717.241889,6991.820108,6841.135557,6713.104855,7112.306134,6808.56664,6737.78271,6966.514663,7624.019021,7992.905036,3836.3817
Germany,13670.946,13228.851,13788.55401,14107.00301,13583.21501,12851.83501,13507.12891,13905.18472,13739.56841,14320.02702,13894.53952,14753.26592,15515.53731,15727.00252,17356.0713,16716.04875,18542.84327,19564.0533,19876.23732,19415.66547,20602.95579,20926.40458,21816.21201,21174.30691,22077.69366,21316.21172,22368.39078,21764.78386,22147.18143,22431.90543,347.984
Greece,641.9630004,407.0270007,348.9230017,374.593002,502.1280018,522.5950037,765.5065046,788.6210034,704.455603,732.9623054,798.3858564,867.6429518,897.4972501,997.9742325,941.794948,930.5928816,897.1270418,1080.886738,1056.036287,1046.017726,1061.327542,1154.525823,1243.663331,1269.093956,1233.605406,1209.964524,1583.737836,867.1193788,1160.023658,1246.27413,103.0527
Hungary,573.974,640.9870026,522.2479992,668.0559984,771.2219983,519.5049966,602.9059997,674.9599991,715.5939943,762.0653045,790.2066673,833.2209675,827.5068668,863.7699913,977.4179388,851.7228942,900.5479963,893.5887951,810.7674443,703.9380789,726.8896947,639.6242626,747.9277087,557.3970482,833.4492506,714.2093939,725.4383182,721.5608351,779.2133677,772.9696635,9.0784
Ireland,129.4770008,118.2670007,94.5680001,110.5420007,130.5400011,114.6070016,98.1580015,106.2836012,101.9779012,142.0334995,154.6881905,180.1510872,176.6015888,226.7229865,263.6446817,251.2797772,252.243941,266.460501,127.4225179,142.0139971,164.7366941,210.4429221,252.0045146,232.744596,291.8597102,356.5710867,402.6304702,426.9155363,439.6141118,438.2803679,3.0006
Italy,5241.831,4630.023,4594.727,5593.705001,5553.766003,5387.861005,5607.987207,5742.631909,5889.39351,5943.087511,6314.874691,6541.731291,6523.414589,6929.190291,7031.930988,7268.612758,7547.525972,8028.463462,8172.104105,8078.168567,8235.962171,8355.342574,8690.869716,8822.5449,9349.822423,9328.193272,10224.18883,10020.27332,10639.35462,10913.75722,130.1829
Latvia,,,20.2589989,59.7739984,22.5559992,29.5221127,65.7523067,143.6437529,158.9554603,183.1094766,181.0516991,156.2200386,163.8818153,185.9201579,187.7697103,191.0852159,220.5149361,150.6349888,154.2490378,131.9782402,137.6645663,141.2808683,156.9856449,161.2889113,213.3881125,201.5931207,231.2908269,228.9203402,242.7429785,234.9406901,401.6348
Lithuania,,,1.8630004,9.100001,46.726994,112.9476799,149.5614977,187.1143479,185.1496673,206.2732062,212.6624974,267.0888845,262.8815834,220.6585037,256.3850971,283.766579,316.6480403,335.5472118,390.4983777,410.9345791,376.0536971,288.8753765,336.6761214,362.1864369,396.4783766,427.7571993,499.2703906,432.4523425,441.4662257,473.6308935,346.6495
Luxembourg,,,,,,,,,,145.0452036,231.7700387,209.7060786,252.7095085,288.762576,315.8023149,330.7952253,335.5344162,359.567489,351.4133229,329.9509344,348.8748621,325.5287339,322.7530169,378.1732517,413.0426555,376.2258486,394.3287395,379.9285554,433.3236938,402.2667298,306.5344
Malta,20.7139989,16.0740031,17.8580006,22.6130018,13.2119992,22.6474855,9.2316602,9.4585531,10.1044031,8.9042352,9.2018914,9.3984609,9.5642993,10.6619765,15.60263,16.3020906,28.8739154,15.9168353,23.0189032,14.217842,12.176685,16.9565037,21.2989369,21.8973088,24.6340662,16.3133795,18.5323229,16.754442,19.3776287,23.3711797,926.3925
